Name,Review
ORNOB,WORLD'S BEST SPOKEN ENGLISH BOOK
Istiaq Ahmed,"প্রথমে ভাবসিলাম কি না কি বই। তারপর বই কিনে যা বুজলাম, দেশে এরকম সহজ করে ইংলিশ শেখার বই খুব কমই আছে। এই বই এর জন্য মুনজারিন দেশ সেরা হবে।
বইটি নিয়মি ..."
Ali Alklak Milon,"The book's cover is like a personal photo album. A total of four photos of the author on both sides of the cover 😮, however, a good book for beginne ..."
Md. Samin Mustakim,Nice
Sayeed Ibna Shams,যারা স্পোকেন ইংলিশ একদম শুরু করতে চাচ্ছে তাদের জন্য এটি একটি ভালো বই হতে পারে। আমার রিকোমেন্ট থাকবে বই থেকেও আপনি যদি তার ভিডিও দেখেন তাহলে সেটি আপনার ...
Junaed Rahman,অসাধারণ একটি বই উপহার দেয়ার জন্য ধন্যবাদ মুনজেরিন আপুকে
MD Shahriar ,Very helpful
Mr. Al Mohammed Shakib Ayesma,This book is such an amazing book for our daily speaking English. It's a suitable book for the readers
Nader Nihal,very good to read.
Sojib Sarker,Good
Rakibul Islam Limon,best book for learning English
Fahim Khan,Nice
HEAD SHOOT,"thanks rokomari
khob valo akti boi
#munzereenshahid"
Lingkon Paul,good
Md. Nazmul Islam,ফালতু বই
